haskell-typst 0.5.0.2-17
haskell-typst-symbols 0.1.5-2
haskell-unicode-collation 0.1.3.6-39
haskell-unicode-data 0.5.0-3
haskell-unicode-transforms 0.4.0.1-100
haskell-uniplate 1.6.13-254
haskell-unix-compat 0.7.3-22
haskell-unix-time 0.4.16-7
haskell-unliftio 0.2.25.1-13
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-49
haskell-utf8-string 1.0.2-180
haskell-uuid-types 1.0.6-13
haskell-vault 0.3.1.5-216
haskell-vector 0.13.1.0-94
haskell-vector-algorithms 0.9.1.0-23
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-62
haskell-wai-app-static 3.1.9-90
haskell-wai-cors 0.2.7-398
haskell-wai-extra 3.1.16-18
haskell-wai-logger 2.5.0-42
haskell-warp 3.3.30-126
haskell-witherable 0.4.2-145
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-41
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-104
haskell-zip-archive 0.4.3.2-27
haskell-zlib 0.6.3.0-85
haveged 1.9.19-1
hexchat 2.16.2-4
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highlight 4.15-5
highway 1.2.0-1
hiredis 1.2.0-3
hplip 1:3.25.2-1
hq 3.1-2
hslua-cli 1.4.2-9
html-xml-utils 8.7-1
htop 3.4.1-1
http-parser 2.9.4-2
httpie 3.2.4-1
httpie-desktop-bin 2025.2.0-1
hunspell 1.7.2-2
hwdata 0.395-1
hwinfo 24.0-1
hwloc 2.12.0-2
hyphen 2.8.8-6
i3-default-artwork 20190912-2
i3-help 20180110-2
i3-scripts 20220913-2
i3-scrot 2.1-3
i3-wm 4.24-1
i3exit 20201126-2
i3lock-color 2.13.c.5-3
i3status-manjaro 2.13-3
iana-etc 20250502-1
icu 76.1-1
iftop 1.0pre4-6
ijs 0.35-6
imagemagick 7.1.1.47-2
imath 3.1.12-4
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-1
intel-ucode 20250512-1
